epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,81.2624,2.70856,4.4437,1.56194,0.00861,0.01345,0.00255,0.00122,2.41142,4.32748,1.38516,0.000162281,0.000162281,0.000162281
2,104.075,2.50926,3.25652,1.4169,0.89857,0.02549,0.02053,0.00983,2.39759,3.00718,1.43224,0.000312664,0.000312664,0.000312664
3,120.638,2.48395,2.79284,1.41021,0.817,0.03906,0.02704,0.01279,2.34953,2.47829,1.44451,0.000446548,0.000446548,0.000446548
4,139.581,2.41301,2.56542,1.37619,0.81946,0.0491,0.03181,0.0163,2.27931,2.30286,1.37151,0.00042575,0.00042575,0.00042575
5,155.822,2.3311,2.41548,1.34388,0.83224,0.04885,0.0386,0.01952,2.21794,2.30143,1.3327,0.000401,0.000401,0.000401
6,173.545,2.28097,2.30567,1.31475,0.83375,0.05424,0.04177,0.02176,2.14021,2.17592,1.30242,0.00037625,0.00037625,0.00037625
7,188.597,2.1807,2.19969,1.28066,0.83328,0.0631,0.04836,0.02593,2.10104,2.08931,1.2936,0.0003515,0.0003515,0.0003515
8,242.826,2.2061,2.17795,1.29882,0.04769,0.2092,0.08663,0.04911,2.04412,2.00083,1.26702,0.00032675,0.00032675,0.00032675
9,256.176,2.12653,2.12119,1.28061,0.61472,0.07364,0.06386,0.0366,2.08725,2.00585,1.28754,0.000302,0.000302,0.000302
10,269.737,2.05505,2.03738,1.23739,0.71308,0.0771,0.07492,0.04566,1.99418,1.92517,1.24032,0.00027725,0.00027725,0.00027725
11,325.65,2.0884,2.14483,1.28785,0.54355,0.08725,0.08658,0.05939,1.96758,1.90902,1.24832,0.0002525,0.0002525,0.0002525
12,341.88,1.99625,2.04085,1.2545,0.54006,0.08414,0.09169,0.05934,1.91621,1.85888,1.2289,0.00022775,0.00022775,0.00022775
13,355.511,1.97883,1.97269,1.23917,0.44319,0.11077,0.09649,0.06678,1.88682,1.80119,1.22799,0.000203,0.000203,0.000203
14,370.207,1.98857,1.97644,1.26191,0.45311,0.10761,0.10154,0.06778,1.90331,1.78495,1.23663,0.00017825,0.00017825,0.00017825
15,384.039,1.99153,1.96615,1.25342,0.33562,0.10461,0.10448,0.07011,1.88012,1.78465,1.20914,0.0001535,0.0001535,0.0001535
16,397.628,1.92607,1.91014,1.21354,0.47267,0.15425,0.1109,0.07748,1.8515,1.74573,1.206,0.00012875,0.00012875,0.00012875
17,411.13,1.9189,1.89801,1.22052,0.35864,0.12053,0.1116,0.07437,1.86844,1.73131,1.2153,0.000104,0.000104,0.000104
18,425.991,1.9154,1.87757,1.21422,0.33914,0.15482,0.11161,0.07917,1.80472,1.70258,1.19035,7.925e-05,7.925e-05,7.925e-05
19,440.251,1.89514,1.86485,1.2217,0.30905,0.15705,0.11269,0.07539,1.82314,1.69895,1.20069,5.45e-05,5.45e-05,5.45e-05
20,453.66,1.87639,1.85971,1.20558,0.29492,0.15746,0.11325,0.07558,1.80374,1.68713,1.18475,2.975e-05,2.975e-05,2.975e-05
